#A58D7F
#A68B74
#A78B6A
#AA8C60
#AB8C5A
#AE8F53
#AF9045
#AD8F44
#AC8F39
#AE9339
#AD9537
#A9953D
#A59746
#9C9653
#989A62
#8C956F
#889573
#7F9380
#7F9586
#859F97
#7F9D9F
#7C9CA7
#779AAD
#779CB4
#7A9CBA
#809EC1
#7D98BE
#8097C0
#869AC5
#8B9BC6
#8E98C0
#9298BE
#9194B9
#9896B5
#9B95AC
#998FA0
#9C8E9B
#9F8E93
#9D8A86
#A48D86
