HEADER_LINE
#FF0094
#FF008C
#FF0084
#FF007D
#FF0077
#FF0071
#FF0064
#FF2B62
#D57354
#AF8C50
#789E4C
#00B14A
#00C14D
#00D251
#00E05B
#00E364
#00E966
#00E772
#00ED77
#00FC86
#00FA8D
#00F996
#00F69B
#00F8A1
#00ECA9
#00E6B1
#00D0B0
#00C5B3
#00BBBA
#75A3BE
#C387BA
#F269BB
#FF48B8
#FF00B7
#FF00B0
#FF00A8
#FF00A5
#FF00A0
#FF0095
#FF0098
