HEADER_LINE
#FF0C8B
#FF0083
#FF247B
#FF3973
#FF406E
#FC5C68
#E86C5D
#DE725B
#B68550
#A1924F
#849B4C
#45A54E
#00AD52
#00B759
#00C065
#00C06E
#00C370
#00C17B
#00C680
#00D38F
#00D096
#00D09D
#00CDA2
#00CFA8
#00C7AE
#00C4B6
#00B5B3
#00AEB6
#33AABB
#8B9EBE
#B28FBA
#CE84BA
#DC77B5
#F06EB4
#F867AD
#FF52A3
#FF3DA0
#FF3C9A
#FF378F
#FF1B90
