#C58382
#C58178
#C3826F
#C28466
#C08460
#BC895A
#B68B4D
#B28B4C
#A68E41
#A39341
#9E9640
#949845
#8C9B4D
#7D9D58
#75A266
#659F71
#5DA074
#559E80
#52A185
#56AC95
#50AA9C
#4DAAA4
#48A8A9
#48AAAF
#56A7B5
#62A8BC
#689FB9
#719DBB
#7D9EC0
#8C9CC2
#9697BC
#A095BB
#A390B6
#AE91B3
#B28FAB
#B488A0
#BB869B
#BD8694
#BA8288
#C48488
