#D37B50
#00F517
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#00FF3C
#00FF63
#00FF7B
#00FF8C
#00FF9F
#00F8B4
#FF52BE
#FF00CA
#FF00CD
#FF00D6
#FF00D5
#FF00D5
#FF00DB
#FF00D9
#FF00D1
#FF00DC
