HEADER_LINE
#CC8583
#CD837A
#CB8473
#CB856B
#C98566
#C68962
#C08B57
#BC8B56
#B08D4E
#AE924F
#A9954F
#9E9652
#959959
#859B61
#7BA06D
#679D76
#5E9E78
#519C83
#4C9F87
#4CAA97
#40A89D
#36A8A4
#28A7A8
#22A9AE
#39A6B3
#49A7B9
#539FB6
#5E9DB8
#6D9EBD
#809DBE
#8D98B9
#9A97B8
#9E92B3
#AC93B0
#B291A9
#B58A9E
#BE889A
#C18894
#BF8488
#CA8689
