#CE933B
#A49840
#719D48
#00A153
#00A862
#00A76E
#00A971
#00A87D
#00AB82
#00B793
#00B59A
#00B6A2
#00B4A8
#00B6AE
#00B2B4
#00B2BC
#00A8B9
#00A5BB
#00A4C0
#00A0C3
#7698BD
#AF94BC
#C88DB7
#EC8BB4
#FE87AD
#FF7DA2
#FF789D
#FF7796
#FF738A
#FF728A
