HEADER_LINE
#FF5988
#FF567F
#F95C77
#F56370
#F0656A
#E47365
#D47B59
#CC7E58
#AE894D
#9F934D
#8D994B
#6A9F4D
#3DA653
#00AC5B
#00B467
#00B370
#00B572
#00B37D
#00B782
#00C392
#00C198
#00C1A0
#00BEA5
#00C0AA
#00BAB0
#00B9B8
#00ACB5
#1BA7B7
#5EA5BC
#8E9DBF
#A993BA
#BF8BB9
#C882B5
#D97FB3
#E07AAC
#E66DA2
#F3659E
#F46497
#EF618C
#FF5C8D
