#899A4C
#5FA14E
#08A853
#00B05B
#00B866
#00B76F
#00BA72
#00B87D
#00BC81
#00C891
#00C697
#00C59F
#00C3A4
#00C5A9
#00BEB0
#00BCB7
#00AEB4
#00A9B7
#55A6BC
#8E9DBF
#AC91BA
#C489B9
#CF7FB5
#E17AB3
#E875AC
#EF66A2
#FC5B9E
#FE5B98
#F9578D
#FF4F8E
