HEADER_LINE
#D78483
#D8827A
#D78272
#D6846B
#D58466
#D08861
#CA8A57
#C58A56
#B78D4D
#B3914E
#AD944E
#A09651
#959958
#809B60
#72A06D
#579D75
#489E78
#319D82
#21A087
#0EAB96
#00A99C
#00A9A4
#00A7A8
#00AAAE
#00A7B3
#00A8BA
#309FB6
#479EB8
#5D9FBD
#789DBF
#8B98B9
#9A96B8
#A092B3
#B092B1
#B790A9
#BD899F
#C7879A
#CA8794
#C98388
#D58589
