#FF683A
#B9972E
#00B629
#00D726
#00EF34
#00FA44
#00FF44
#00FF59
#00FF5D
#00FF6E
#00FF79
#00FF84
#00FF8C
#00FF93
#00FF9F
#00FFAA
#00FFAC
#00F2B1
#00E7B9
#00CAC0
#00A3BF
#FF79C2
#FF44BF
#FF00C0
#FF00BA
#FF00B3
#FF00B2
#FF00AC
#FF00A2
#FF00A6
