#A2924C
#00D437
#00FD25
#00FF00
#00FF00
#00FF00
#00FF00
#00FF2C
#00FF2F
#00FF45
#00FF55
#00FF64
#00FF6D
#00FF75
#00FF88
#00FF96
#00FF9C
#00FFA4
#00FFAF
#00CDBA
#E471BC
#FF00C2
#FF00C2
#FF00C5
#FF00C2
#FF00BD
#FF00BF
#FF00BB
#FF00B2
#FF00B9
