HEADER_LINE
#C48583
#C4837A
#C38472
#C2866A
#C18565
#BE8A60
#B88B55
#B58B54
#AA8E4C
#A7924D
#A3954C
#9A9750
#929957
#849B60
#7DA06C
#6D9D75
#669E78
#5D9C82
#5A9F87
#5EAA96
#57A89D
#52A8A4
#4CA6A8
#4BA8AE
#56A6B3
#60A7BA
#659EB7
#6D9DB8
#799EBD
#879DBF
#9298B9
#9C96B8
#9F91B3
#AA93B1
#AF91A9
#B18A9F
#B8889A
#BB8894
#B98488
#C38689
