HEADER_LINE
#CF7E83
#CF7C79
#CC7E71
#CB8068
#C88062
#C2865C
#BB8950
#B6894F
#A78D44
#A29344
#9B9643
#8E9947
#839C4F
#6F9F59
#62A567
#4CA271
#3DA374
#30A180
#26A485
#26AF95
#19AD9B
#11ADA3
#00ABA8
#00ADAE
#38AAB4
#4EAABB
#5CA1B8
#6A9EBA
#799FBF
#8D9CC1
#9996BB
#A594BB
#A98EB6
#B68FB3
#BA8CAB
#BD85A0
#C5829B
#C78295
#C37E89
#CE7F89
