HEADER_LINE
#FF008E
#FF0086
#FF007E
#FF0077
#FF0072
#FF346C
#FD5760
#F1615E
#C18052
#A59050
#7E9C4D
#00A94D
#00B551
#00C157
#00CC62
#00CD6B
#00D26C
#00D078
#00D57C
#00E28C
#00E093
#00DF9B
#00DC9F
#00DFA5
#00D5AC
#00D0B4
#00BFB2
#00B6B5
#00AFBB
#869FBE
#B98CBA
#DC7BBA
#ED69B6
#FF58B5
#FF4AAE
#FF14A5
#FF00A2
#FF009C
#FF0091
#FF0093
