#839C4B
#00BF43
#00D941
#00F53F
#00FF48
#00FF51
#00FF51
#00FF61
#00FF65
#00FF75
#00FF7E
#00FF87
#00FF8E
#00FF94
#00FF9F
#00FFA9
#00FAAA
#00E9AF
#00D8B6
#00B2BD
#D17FBB
#FF24BE
#FF00BB
#FF00BC
#FF00B7
#FF00B0
#FF00AF
#FF00AA
#FF00A0
#FF00A4
