HEADER_LINE
#FF0389
#FF007F
#FF0176
#FF226C
#FF2A65
#FF4B5D
#FF5C4D
#FF624B
#FF773A
#FF8436
#FF8D32
#A89835
#00A23D
#00AD48
#00B758
#00B965
#00BD68
#00BD77
#00C17C
#00CF8D
#00CE95
#00CF9E
#00CEA4
#00D0AA
#00CAB2
#00C8BA
#00BBB8
#00B5BB
#00B2C1
#00A8C4
#119ABF
#DF8FBF
#FF83BA
#FF7AB8
#FF71B0
#FF5CA5
#FF49A1
#FF439A
#FF3A8E
#FF1D8F
